Symbol,Symbol,Security Name,ETF
PEP,PEP,"PepsiCo, Inc. - Common Stock",N
CTB,CTB,Cooper Tire & Rubber Company Common Stock,N
SKYW,SKYW,"SkyWest, Inc. - Common Stock",N
EQT,EQT,EQT Corporation Common Stock,N
COHR,COHR,"Coherent, Inc. - Common Stock",N
SNFCA,SNFCA,Security National Financial Corporation - Class A Common Stock,N
NSEC,NSEC,"National Security Group, Inc. - Common Stock",N
OTTR,OTTR,Otter Tail Corporation - Common Stock,N
WY,WY,Weyerhaeuser Company Common Stock,N
GOLD,GOLD,Barrick Gold Corporation Common Stock (BC),N
