,January,February,March,April,May,June,July,August,September,October,November,December
PEP,0.0143295815,0.096483074,0.19261654,0.06605686,0.023104094,0.21194598,0.054531503,0.027926879,0.14173304,0.18545546,0.1912753,0.1929555
CTB,0.021909904,0.12754822,0.016240245,0.14439204,0.22922172,0.09542269,0.23521358,0.2302479,0.100899406,0.033417076,0.026017841,0.024027199
SKYW,0.0042170966,0.006454012,0.093562014,0.01311655,0.007173975,0.05549512,0.016470946,0.012295276,0.078268915,0.0812394,0.08088886,0.08048867
EQT,0.0024225514,0.005290548,0.008084002,0.0027144563,0.0014811474,0.004427756,0.0019039195,0.0012125528,0.0017577853,0.0016014975,0.0024176498,0.0050074663
COHR,0.60166055,0.04673523,0.021109212,0.2873953,0.22925238,0.06282509,0.21094435,0.21563043,0.06639428,0.027841156,0.020341082,0.017004961
SNFCA,0.0017712875,0.002564576,0.00515701,0.004679029,0.002117948,0.005718516,0.0030675055,0.0018738199,0.0034156768,0.0024258613,0.0020789306,0.0019395733
NSEC,0.22157963,0.67107266,0.3698658,0.35570845,0.4599978,0.34239253,0.3328389,0.42297515,0.33757865,0.36186495,0.3694802,0.3699281
OTTR,0.015028551,0.0140885785,0.14539734,0.099832214,0.03181914,0.10622712,0.08804006,0.048017595,0.105471276,0.1612984,0.16192856,0.16429873
WY,0.10998912,0.0068796356,0.0013184104,0.0015895442,0.0010692846,0.0024245183,0.0016652477,0.0013226251,0.0015465664,0.0005698627,0.0003607565,0.0002632509
GOLD,0.007091741,0.022883479,0.14664948,0.024515605,0.014762567,0.113120675,0.055324,0.038497765,0.16293444,0.1442863,0.14521088,0.14408655
