,Q1,Q2,Q3,Q4
PEP,0.42483458,0.40870023,0.10087268,0.042048335
CTB,0.021375872,0.18724945,0.13684359,0.18228655
SKYW,0.081960596,0.026052557,0.006673239,0.003251604
EQT,0.038768288,0.21520646,0.7082761,0.74979854
COHR,0.021302955,0.011060893,0.003773166,0.001314092
SNFCA,0.0055559278,0.002317668,0.00060530374,0.000296974
NSEC,0.08122645,0.048650984,0.011052859,0.0053913873
OTTR,0.2876812,0.088494,0.027336994,0.013620004
WY,0.027546989,0.008143876,0.002842777,0.0012055059
GOLD,0.009747152,0.0041238875,0.0017233922,0.0007869913
