,January,February,March,April,May,June,July,August,September,October,November,December
PEP,0.17939864,0.15475117,0.05241008,0.029132253,0.0022151126,0.002113082,0.0009571694,0.0012861089,0.01024338,0.0121865105,0.00619432,0.0037156206
CTB,0.13914973,0.02432841,0.0063356357,0.0033744618,0.00076671,0.00062466366,0.00039297983,0.0004146585,0.0017503828,0.002207618,0.0014660829,0.0010242391
SKYW,0.0044079046,0.0029897254,0.002274741,0.001436852,0.00015152422,0.00015834383,3.873877e-05,4.770758e-05,0.0001991877,0.00054079917,0.0004196362,0.0003141223
EQT,0.008435381,0.007440962,0.006904402,0.016547766,0.012551245,0.07242668,0.004910546,0.006426321,0.009818974,0.030422118,0.066138126,0.20878658
COHR,0.030663049,0.021597933,0.013574093,0.01469718,0.0028248327,0.0027562662,0.0013628409,0.0019483981,0.009793196,0.016239217,0.009840452,0.006181932
SNFCA,0.612416,0.7671923,0.8766125,0.21360663,0.0068651033,0.003897188,0.0014648491,0.0017319126,0.003359873,0.0031102297,0.0018416,0.0011626506
NSEC,0.002145641,0.0011214599,0.00062107533,0.0004918159,9.443492e-05,6.0706076e-05,3.0602485e-05,3.5440386e-05,7.7110446e-05,0.0001355494,8.803681e-05,5.6510184e-05
OTTR,0.003834352,0.0023768377,0.00096118555,0.0007813415,0.00017617612,0.00013734668,8.2326005e-05,0.00013685989,0.00054530636,0.001599034,0.000852476,0.0005214486
WY,0.013922256,0.013459308,0.034275267,0.6889902,0.33157635,0.43340516,0.027788388,0.04119873,0.11248372,0.43089122,0.42956898,0.3538667
GOLD,0.0056270394,0.0047418824,0.006031078,0.030941643,0.64277846,0.48442054,0.96297157,0.9467739,0.8517289,0.5026677,0.48359036,0.4243702
