,Q1,Q2,Q3,Q4
PEP,0.017773457,0.0027890066,0.004664038,0.01720131
CTB,0.006653868,0.00042026062,0.00020015164,0.00020380555
SKYW,0.11625909,0.0006974488,0.00037480402,0.0003316626
EQT,0.0086373435,0.00026535234,0.00013540588,0.00017404521
COHR,0.5814416,0.9902283,0.988252,0.94605637
SNFCA,0.08474102,0.0011884427,0.0005997124,0.00058416696
NSEC,0.019425884,0.0005314056,0.0002707587,0.00023819807
OTTR,0.012012631,0.00019146308,0.00010812272,0.00012713083
WY,0.14634146,0.0011683517,0.0006060393,0.0006641924
GOLD,0.0067136986,0.002519912,0.0047889086,0.034419134
