,January,February,March,April,May,June,July,August,September,October,November,December
PEP,0.0016909939,0.00055258785,0.00033053066,0.00017862149,0.00014766137,0.00012444973,9.185435e-05,7.510929e-05,6.619206e-05,4.247504e-05,1.584092e-05,6.560006e-06
CTB,0.00025648976,9.462648e-05,6.008886e-05,4.170595e-05,3.3774646e-05,2.761861e-05,1.9536936e-05,1.5409289e-05,1.3489181e-05,8.665581e-06,5.3359627e-06,1.993252e-06
SKYW,0.00019744135,7.181571e-05,4.3720745e-05,3.0268344e-05,2.4797902e-05,2.1123802e-05,1.6702557e-05,1.4372134e-05,1.2861429e-05,6.1345822e-06,2.5462316e-06,9.634886e-07
EQT,0.00016672672,6.446291e-05,4.1598767e-05,3.461114e-05,2.8105867e-05,2.3662997e-05,1.9344436e-05,1.6965194e-05,1.5339523e-05,1.3873613e-05,5.787417e-06,1.9143943e-06
COHR,0.000120513476,4.270314e-05,2.6356161e-05,2.2008597e-05,1.7382166e-05,1.416794e-05,1.0425176e-05,8.522463e-06,7.3892197e-06,4.525109e-06,1.9084332e-06,7.4667577e-07
SNFCA,0.9954075,0.9983936,0.99900717,0.99932003,0.99944514,0.99953556,0.9996489,0.99970776,0.9997391,0.99982375,0.99992704,0.99996734
NSEC,0.00081230624,0.00028124012,0.0001770486,0.00015732368,0.00012524617,0.000101534846,7.172759e-05,5.7237274e-05,5.024233e-05,4.125433e-05,1.4748866e-05,7.793745e-06
OTTR,0.00031490557,0.00012914062,8.2139886e-05,6.0992956e-05,4.999325e-05,4.2253385e-05,3.3316115e-05,2.830682e-05,2.5415893e-05,2.1566275e-05,9.425277e-06,5.0127555e-06
WY,0.0008946394,0.0003164312,0.00019862039,0.00012850796,0.00010758987,9.321672e-05,7.5889664e-05,6.608641e-05,6.0955197e-05,2.9363575e-05,1.295668e-05,5.592682e-06
GOLD,0.00013826297,5.3362946e-05,3.2602333e-05,2.5908683e-05,2.0277459e-05,1.643897e-05,1.2331442e-05,1.0140625e-05,8.961034e-06,8.395294e-06,4.3819236e-06,2.0672667e-06
